source_doi,source_title,reading_list,target_doi,target_title
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,,Mind in Society: The Development of Higher Psychological Processes
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1126/science.162.3859.1243,The Tragedy of the Commons
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1007/bf01405730,Dilemmas in a general theory of planning
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1080/00131728609335764,Experience and Education
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1037/11494-000,The origins of intelligence in children.
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1177/030631289019003001,"Institutional Ecology, `Translations' and Boundary Objects: Amateurs and Professionals in Berkeley's Museum of Vertebrate Zoology, 1907-39"
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.1002/9781119084679.ch4,The Death and Life of Great American Cities
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,,"Mindstorms: Children, Computers, And Powerful Ideas"
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.2307/2084758,Experience and Education.
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.7551/mitpress/1881.001.0001,Cognition in the Wild
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.2307/1395245,"Simians, Cyborgs and Women: The Reinvention of Nature"
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,,The Embodied Mind: Cognitive Science and Human Experience
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,,"The Information Age: Economy, Society and Culture"
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,https://doi.org/10.2307/2804090,The Gift: The Form and Reason for Exchange in Archaic Societies.
https://doi.org/10.1080/01972243.2011.583819,Critical making: Conceptual and material studies in technology and social life,critical_making,,One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society
